10	0	1	0	1.33	201892
10	0	1	1	1.32	201896
10	0	1	2	1.34	202440
10	0	1	3	1.33	201416
10	0	1	4	1.35	203536
10	0	2	0	1.34	202524
10	0	2	1	1.34	202828
10	0	2	2	1.35	204240
10	0	2	3	1.13	204880
10	0	2	4	1.34	203144
10	0	3	0	1.34	202524
10	0	3	1	1.34	204348
10	0	3	2	1.34	204232
10	0	3	3	1.34	204816
10	0	3	4	1.34	201908
10	0	4	0	1.34	203476
10	0	4	1	1.13	204812
10	0	4	2	1.34	202936
10	0	4	3	1.34	202928
10	0	4	4	1.33	203308
10	0	6	0	1.12	204056
10	0	6	1	1.33	202292
10	0	6	2	1.33	202928
10	0	6	3	1.34	204528
10	0	6	4	1.33	203312
10	0	8	0	1.32	203784
10	0	8	1	1.33	204796
10	0	8	2	1.33	203700
10	0	8	3	1.34	203000
10	0	8	4	1.33	203544
10	0	12	0	1.33	204232
10	0	12	1	1.33	202696
10	0	12	2	1.34	202848
10	0	12	3	1.33	203960
10	0	12	4	1.34	203540
10	0	16	0	1.33	203700
10	0	16	1	1.33	203556
10	0	16	2	1.33	204228
10	0	16	3	1.33	201952
10	0	16	4	1.34	202388
10	0	24	0	1.33	204060
10	0	24	1	1.32	202696
10	0	24	2	1.32	203228
10	0	24	3	1.32	203316
10	0	24	4	1.33	203956
10	0	32	0	1.34	202432
10	0	32	1	1.33	203968
10	0	32	2	1.33	201996
10	0	32	3	1.33	203368
10	0	32	4	1.31	204824
10	1	1	0	1.34	203760
10	1	1	1	1.33	203940
10	1	1	2	1.33	202872
10	1	1	3	1.32	203468
10	1	1	4	1.32	204224
10	1	2	0	1.35	202680
10	1	2	1	1.33	204788
10	1	2	2	1.34	202296
10	1	2	3	1.34	203004
10	1	2	4	1.34	204028
10	1	3	0	1.35	203560
10	1	3	1	1.33	203960
10	1	3	2	1.34	204020
10	1	3	3	1.34	203968
10	1	3	4	1.34	204416
10	1	4	0	1.34	202212
10	1	4	1	1.34	201904
10	1	4	2	1.32	203000
10	1	4	3	1.35	202436
10	1	4	4	1.34	202852
